"","sampleSize","contamination","bias_XBar_Q_b_F_C","bias_XBar_Mean","bias_XBar_Median","bias_XBar_Mode","bias_SD_Q_b_F_C","bias_SD_Mean","bias_SD_Median","bias_SD_Mode","MSE_XBar_Q_b_F_C","MSE_XBar_Mean","MSE_XBar_Median","MSE_XBar_Mode","MSE_SD_Q_b_F_C","MSE_SD_Mean","MSE_SD_Median","MSE_SD_Mode","above05_Q_b_F_C","above05_Mean","above05_Median","above05_Mode"
"1",20,5,0.110665920673401,0.0205605072352891,0.0203988650796517,0.0202753692562238,0.0952677415079354,0.0778594950179296,0.0772536500420665,0.0724794578191332,0.0599877298673076,0.0579038970687721,0.0578221697173234,0.0579436820815427,0.0470118389431078,0.0497796035309729,0.0496165143025335,0.0489195836886092,0.961,0.97,0.949,0.924
"2",50,5,0.0917755254644437,0.0188366276174857,0.018914314150997,0.0190422105923881,0.0939728106578701,0.0318848031744297,0.0317071303914282,0.0294265131797403,0.0273208746956235,0.0211683060899715,0.0212055003024151,0.0212425500517209,0.0223112218453004,0.0165399916907891,0.0165216083824409,0.0164162958107213,0.926,0.97,0.965,0.958
"3",100,5,0.122379974982548,0.0290514415093307,0.0288017278875437,0.0282046415227861,0.125384681919983,0.0263773337501093,0.0262706714654477,0.0239912260238254,0.025034270019941,0.0119784845475958,0.01192628991592,0.0120095194447325,0.0234977454311826,0.00962950208894471,0.0096214707442537,0.00953328561979462,0.614,0.968,0.96,0.934
"4",200,5,0.120015383055282,0.0270399687694486,0.0267312968986011,0.0262479155072671,0.122616006824382,0.0230679378537261,0.0230157502314762,0.0215091047715959,0.019704689011893,0.00664534959498292,0.00662057283913487,0.00666966167735555,0.0188042740591185,0.00470811465202124,0.00470502747380682,0.00464515582430286,0.137,0.962,0.953,0.916
"5",20,10,0.239858201330525,0.074220276367968,0.073610843601419,0.074171452861453,0.226064812396302,0.0138692923635378,0.0130805115631243,0.00665228861267216,0.111040956817887,0.0684748396934667,0.0684780865309592,0.0688216839780715,0.101240814348319,0.0533697701110375,0.0533278035516696,0.0530012311385098,0.873,0.951,0.939,0.91
"6",50,10,0.245294782442,0.0680453452215643,0.0670359539586709,0.065792482236076,0.250378821361184,0.00546046526427337,0.00507575839320809,0.000681205149310202,0.0808016208203954,0.0294394049190788,0.0292339674422271,0.0293703204517128,0.0808867665187779,0.0209621482845762,0.0209534133695212,0.0209367055534902,0.474,0.938,0.918,0.879
"7",100,10,0.24386777433249,0.067576683019061,0.0661381533498681,0.0651680202211788,0.251944541518839,0.00607177693425508,0.00625165501966885,0.00944252710158103,0.0703166943590104,0.0171653967295144,0.0169200810197733,0.0170058585662686,0.0732621496862827,0.00999656356535421,0.00999961058867355,0.0100618490140072,0.06,0.89,0.873,0.805
"8",200,10,0.24524891398411,0.0636255577981095,0.0620941281449211,0.060631409933579,0.255125099092738,0.00467371699513538,0.00478023984301072,0.00728915717401324,0.0653519407015296,0.0101928910514598,0.00997134517500249,0.00999575720096206,0.0698822707518147,0.00492460859338163,0.00492728873304667,0.00498119337705329,0,0.777,0.752,0.664
"9",20,15,0.353106010260967,0.112740142865309,0.111001720184573,0.107554328880911,0.349973364532509,0.00426160162226301,0.0052627574437105,0.0145038642300605,0.180249022286559,0.0804637582324675,0.0797932937290198,0.0817831243057824,0.183337146183275,0.0644429377886671,0.0644017138967456,0.0646379533037624,0.743,0.937,0.908,0.868
"10",50,15,0.399080368295181,0.140052624496652,0.13581299003764,0.132142259576947,0.401330283932863,0.062483860352894,0.0630306912641847,0.0690495617547246,0.182454216111628,0.0490286412194796,0.0478159642765256,0.0478365048746778,0.188051364745557,0.0355705706560872,0.0356525406825117,0.0364717613162313,0.108,0.785,0.737,0.674
"11",100,15,0.378063761475235,0.120712223118907,0.116645866596078,0.112649493505484,0.387490650734181,0.0482843438543592,0.0486030071078627,0.0530080540321588,0.153610623309151,0.0279517606165605,0.0268628430181443,0.0260978358283001,0.162421157166081,0.0156775233258265,0.015722461652673,0.0162350618138839,0.006,0.666,0.617,0.54
"12",200,15,0.378035185102175,0.11944017707528,0.115350546090498,0.110781064108097,0.391977052123736,0.0551425170692875,0.0553493436439945,0.0587220076674056,0.14891555437379,0.0215387473066418,0.0205341528801327,0.0199212490222527,0.159368769452215,0.00976120104369222,0.00979193007795781,0.0102055153019047,0,0.251,0.217,0.146
