"","sampleSize","contamination","bias_prop_Q_b_F_C","bias_prop_Mean","bias_prop_Median","bias_prop_Mode","MSE_prop_Q_b_F_C","MSE_prop_Mean","MSE_prop_Median","MSE_prop_Mode","above05_Q_b_F_C","above05_Mean","above05_Median","above05_Mode"
"1",20,5,0.012945808957594,0.0165224657139533,0.0177547662197642,0.0194877292753393,0.00081932358228513,0.00178141354093458,0.00186661616601698,0.00204312021217276,0.748,0.912,0.878,0.848
"2",50,5,0.0135088580027133,0.0108237928640262,0.0121168838893042,0.0142893239381256,0.000416882059293848,0.00064697682623115,0.000696349979419349,0.000800012521460995,0.442,0.682,0.606,0.538
"3",100,5,0.0173168621359165,0.00955927618873387,0.0110410863711233,0.013866572861044,0.000406808249838262,0.000375319575224535,0.000416792620827838,0.000513355933762846,0.294,0.45,0.418,0.356
"4",200,5,0.0183761448544913,0.00798589462743584,0.00952111488364167,0.0127227096276093,0.000390647477713949,0.000194567100210142,0.00022656747894418,0.000313914381268659,0.152,0.254,0.2,0.198
"5",20,10,0.0309725509454743,0.00509238191245406,0.00676496200898664,0.00939676977040267,0.00137456094865549,0.00180499295663401,0.00190893502327624,0.00216453740066899,0.582,0.846,0.792,0.782
"6",50,10,0.0339589790691006,0.000814176090285079,0.00291805620263727,0.00635208502629223,0.00129862039482419,0.000636976509065543,0.000675428794726643,0.000794874481988342,0.256,0.542,0.488,0.38
"7",100,10,0.0339584022897231,0.0017613497592425,0.000410743780107278,0.00396999719296462,0.00122160435835575,0.000344522663458884,0.000358358545747943,0.000427765744968169,0.09,0.352,0.314,0.234
"8",200,10,0.0340870659417023,0.000820265067437685,0.00138540994926892,0.00555318898470031,0.00119475219680258,0.00018513053553699,0.000194473580193622,0.000254856838627133,0.008,0.258,0.192,0.11
"9",20,15,0.044960570926742,0.00579253570634904,0.003809135421059,0.00139376363740971,0.0022694688738061,0.00177302384457319,0.00185150102185611,0.00201427441484678,0.514,0.77,0.72,0.7
"10",50,15,0.0485696771420284,0.0193503485492062,0.0171136870717146,0.0145402585661325,0.00244802451429668,0.00108109909232046,0.00105496999981337,0.0010521263772522,0.128,0.428,0.346,0.296
"11",100,15,0.046665886158324,0.0150666005867443,0.0125766612885874,0.00875194658985888,0.0022230058750176,0.000626092596488108,0.000590767760771116,0.000591748079804812,0.034,0.218,0.168,0.15
"12",200,15,0.0459939242158278,0.0164831388561372,0.0139546708292738,0.0100932830827394,0.00213947271222727,0.000493857488604169,0.00043660402877114,0.000383201217867207,0,0.146,0.116,0.064
